time_ms,ias_hz,frame_rms
206339,0.0,1.7
206851,0.0,1.71
207363,0.0,1.79
207875,0.0,1.82
208387,0.0,1.85
208899,0.0,1.75
209411,0.0,1.87
209923,0.0,1.84
210435,0.0,1.84
210947,0.0,1.75
211459,0.0,156.84
211971,0.0,384.31
212483,0.0,0.71
212995,0.0,0.9
213507,0.0,0.75
214019,0.0,0.79
214531,0.0,0.75
215043,0.0,0.73
215555,0.0,0.68
216067,0.0,0.71
216579,0.0,411.72
217091,0.0,9.75
217603,0.0,10.66
218115,0.0,8.94
218627,0.0,9.24
219139,0.0,10.98
219651,0.0,10.97
220163,0.0,9.46
220675,0.0,10.73
221187,0.0,79.47
221699,0.0,190.59
222211,21.88,212.35
222723,22.46,221.11
223235,22.84,251.79
223747,23.04,260.09
224259,23.04,261.72
224771,23.04,265.3
225283,23.04,269.48
225795,23.04,268.36
226307,23.04,135.87
226819,0.0,10.09
227331,0.0,8.3
227843,0.0,9.25
228355,0.0,8.03
228867,0.0,9.28
229379,0.0,9.57
229891,0.0,11.66
230403,0.0,9.27
230915,0.0,23.36
231427,0.0,121.9
231939,20.35,229.53
232451,22.46,211.83
232963,22.84,254.71
233475,23.04,274.24
233987,23.23,284.01
234499,23.23,285.34
235011,23.23,288.19
235523,23.23,289.48
236035,23.23,275.59
236547,23.61,67.74
237059,0.0,7.81
237571,0.0,10.4
238083,0.0,9.71
238595,0.0,8.67
239107,0.0,10.86
239619,0.0,9.62
240131,0.0,9.52
240643,0.0,9.49
241155,0.0,39.51
241667,0.0,160.37
242179,21.88,227.0
242691,22.65,246.65
243203,23.23,278.43
243715,23.23,286.06
244227,23.23,287.09
244739,23.23,279.4
245251,23.23,284.69
245763,23.23,285.35
246275,23.23,219.6
246787,0.0,19.28
247299,0.0,9.31
247811,0.0,8.46
248323,0.0,9.71
248835,0.0,8.88
249347,0.0,9.27
249859,0.0,9.38
250371,0.0,8.03
250883,0.0,11.36
251395,0.0,92.82
251907,0.0,223.28
252419,22.46,212.86
252931,22.84,261.4
253443,23.23,281.31
253955,23.23,286.01
254467,23.42,287.85
254979,23.42,295.05
255491,23.42,298.13
256003,23.42,300.06
256515,23.42,122.83
257027,0.0,8.92
257539,0.0,9.24
258051,0.0,8.45
258563,0.0,8.27
259075,0.0,8.35
259587,0.0,7.96
260099,0.0,9.31
260611,0.0,8.69
261123,0.0,29.26
261635,0.0,127.95
262147,21.5,231.88
262659,22.46,243.5
263171,23.23,286.48
263683,23.42,297.73
264195,23.42,304.22
264707,23.42,301.7
265219,23.42,299.18
265731,23.42,302.25
266243,23.42,272.81
266755,23.23,43.29
267267,0.0,8.41
267779,0.0,9.49
268291,0.0,9.92
268803,0.0,9.68
269315,0.0,10.63
269827,0.0,9.95
270339,0.0,8.07
270851,0.0,8.54
271363,0.0,53.05
271875,0.0,184.67
272387,22.27,217.88
272899,22.84,256.26
273411,23.23,285.92
273923,23.42,293.74
274435,23.42,301.78
274947,23.42,303.88
275459,23.42,303.19
275971,23.42,300.28
276483,23.42,189.3
276995,0.0,14.14
277507,0.0,10.81
278019,0.0,9.22
278531,0.0,9.17
279043,0.0,10.28
279555,0.0,8.4
280067,0.0,9.14
280579,0.0,10.13
281091,0.0,9.6
281603,0.0,9.94
282115,0.0,9.95
282627,0.0,8.98
283139,0.0,9.1
283651,0.0,8.92
284163,0.0,8.86
284675,0.0,8.79
285187,0.0,9.59
285699,0.0,10.45
286211,0.0,9.96
286723,0.0,24.38
287235,0.0,19.64
