time_ms,ias_hz,frame_rms
3814403,0.0,2.03
3814915,0.0,1.88
3815427,0.0,2.15
3815939,0.0,2.05
3816451,0.0,2.12
3816963,0.0,2.02
3817475,0.0,1.89
3817987,0.0,1.83
3818499,0.0,1.96
3819011,0.0,386.25
3819523,0.0,153.96
3820035,0.0,0.6
3820547,0.0,0.7
3821059,0.0,0.78
3821571,0.0,0.67
3822083,0.0,0.62
3822595,0.0,0.62
3823107,0.0,44.65
3823619,0.0,393.65
3824131,0.0,10.43
3824643,0.0,12.6
3825155,0.0,9.9
3825667,0.0,9.02
3826179,0.0,8.81
3826691,0.0,10.87
3827203,0.0,9.82
3827715,0.0,10.57
3828227,0.0,10.48
3828739,0.0,8.56
3829251,0.0,8.85
3829763,0.0,9.18
3830275,0.0,9.4
3830787,0.0,9.85
3831299,0.0,10.73
3831811,0.0,10.72
3832323,0.0,8.58
3832835,0.0,9.72
3833347,0.0,10.75
3833859,0.0,9.3
3834371,0.0,11.54
3834883,0.0,12.61
3835395,0.0,13.98
3835907,0.0,17.0
3836419,0.0,16.92
3836931,0.0,19.4
3837443,0.0,20.45
3837955,0.0,23.87
3838467,5.0,23.73
3838979,5.0,22.66
3839491,5.0,23.0
3840003,5.0,26.1
3840515,5.0,30.47
3841027,5.38,32.13
3841539,5.57,36.19
3842051,5.76,39.16
3842563,6.34,49.62
3843075,6.53,63.34
3843587,6.91,63.27
3844099,7.3,70.09
3844611,7.49,68.3
3845123,7.87,73.53
3845635,8.26,72.62
3846147,8.45,86.81
3846659,8.83,88.36
3847171,9.03,94.98
3847683,9.41,94.15
3848195,9.79,90.13
3848707,10.18,107.46
3849219,10.56,108.98
3849731,10.75,113.59
3850243,11.14,133.46
3850755,11.52,132.25
3851267,11.9,114.57
3851779,12.29,114.1
3852291,12.67,125.03
3852803,12.86,107.71
3853315,13.25,97.56
3853827,13.63,113.72
3854339,13.82,137.34
3854851,14.4,175.5
3855363,14.59,188.57
3855875,14.97,146.6
3856387,15.17,120.02
3856899,15.55,108.87
3857411,16.13,99.76
3857923,16.51,110.27
3858435,17.09,123.12
3858947,17.47,120.98
3859459,17.85,118.66
3859971,18.24,140.55
3860483,18.43,170.26
3860995,18.81,178.74
3861507,19.01,184.91
3862019,19.39,209.58
3862531,19.58,242.02
3863043,19.77,279.12
3863555,19.96,311.23
3864067,20.35,301.5
3864579,20.73,280.73
3865091,20.92,265.15
3865603,21.12,250.38
3866115,21.31,232.41
3866627,21.5,218.37
3867139,21.5,207.64
3867651,21.69,201.14
3868163,21.88,189.96
3868675,22.08,197.65
3869187,22.27,213.08
3869699,22.46,230.49
3870211,22.65,249.34
3870723,22.65,248.88
3871235,22.65,254.29
3871747,22.84,263.41
3872259,22.84,276.46
3872771,23.04,283.92
3873283,23.04,281.4
3873795,23.04,281.18
3874307,23.04,289.49
3874819,23.04,288.1
3875331,23.04,282.06
3875843,23.04,277.62
3876355,22.84,271.19
3876867,22.84,275.13
3877379,22.84,275.96
3877891,22.84,275.1
3878403,22.84,269.29
3878915,22.84,257.29
3879427,22.84,271.05
3879939,23.04,283.26
3880451,23.04,273.94
3880963,23.04,277.1
3881475,23.04,279.34
3881987,23.04,281.74
3882499,23.04,282.72
3883011,23.23,291.03
3883523,23.23,193.02
3884035,0.0,15.54
3884547,0.0,9.52
3885059,0.0,12.3
3885571,0.0,9.07
3886083,0.0,10.53
3886595,0.0,9.5
3887107,0.0,9.14
3887619,0.0,10.62
3888131,0.0,9.04
3888643,0.0,9.88
3889155,0.0,10.82
3889667,0.0,10.53
3890179,0.0,11.39
3890691,0.0,9.67
3891203,0.0,10.24
3891715,0.0,14.05
3892227,0.0,10.78
3892739,0.0,9.69
3893251,0.0,10.86
3893763,0.0,36.57
3894275,0.0,17.93
3894787,0.0,2.0
