time_ms,ias_hz,frame_rms
1890307,0.0,2.06
1890819,0.0,2.06
1891331,0.0,1.99
1891843,0.0,1.92
1892355,0.0,2.01
1892867,0.0,1.82
1893379,0.0,1.98
1893891,0.0,2.37
1894403,0.0,2.04
1894915,0.0,2.02
1895427,0.0,2.15
1895939,0.0,442.75
1896451,0.0,15.53
1896963,0.0,0.61
1897475,0.0,0.87
1897987,0.0,0.66
1898499,0.0,0.75
1899011,0.0,0.72
1899523,0.0,0.79
1900035,0.0,0.74
1900547,0.0,0.71
1901059,0.0,407.24
1901571,0.0,48.85
1902083,0.0,9.46
1902595,0.0,9.05
1903107,0.0,9.95
1903619,0.0,9.96
1904131,0.0,9.56
1904643,0.0,11.26
1905155,0.0,10.43
1905667,0.0,9.88
1906179,0.0,9.35
1906691,0.0,12.64
1907203,0.0,9.89
1907715,0.0,10.86
1908227,0.0,11.22
1908739,0.0,9.3
1909251,0.0,9.47
1909763,0.0,11.26
1910275,0.0,10.86
1910787,0.0,10.38
1911299,0.0,10.51
1911811,0.0,12.19
1912323,0.0,9.71
1912835,0.0,9.8
1913347,0.0,9.72
1913859,0.0,9.77
1914371,0.0,10.51
1914883,0.0,9.43
1915395,0.0,11.28
1915907,0.0,21.07
1916419,0.0,27.67
1916931,5.19,31.28
1917443,5.19,29.24
1917955,5.19,29.83
1918467,5.19,31.54
1918979,5.19,29.66
1919491,5.19,30.85
1920003,5.38,30.61
1920515,5.19,29.49
1921027,5.19,30.43
1921539,5.19,31.82
1922051,5.38,33.36
1922563,5.38,33.81
1923075,5.38,43.44
1923587,10.18,98.25
1924099,10.75,107.17
1924611,10.75,105.03
1925123,10.75,106.58
1925635,10.75,106.81
1926147,10.75,106.22
1926659,10.75,108.24
1927171,10.75,108.97
1927683,10.75,107.9
1928195,10.75,107.8
1928707,10.75,107.95
1929219,10.75,112.64
1929731,10.75,110.95
1930243,10.75,110.97
1930755,11.14,121.48
1931267,16.13,111.41
1931779,16.7,106.73
1932291,16.89,118.41
1932803,16.89,118.78
1933315,16.89,121.53
1933827,16.89,122.77
1934339,16.89,122.48
1934851,16.89,124.96
1935363,16.89,123.59
1935875,16.89,121.67
1936387,16.89,122.24
1936899,17.09,123.78
1937411,17.09,123.48
1937923,16.89,121.26
1938435,17.09,224.03
1938947,20.92,268.48
1939459,21.31,218.2
1939971,21.5,215.86
1940483,21.5,214.42
1940995,21.69,204.05
1941507,21.69,204.86
1942019,21.5,207.82
1942531,21.5,212.17
1943043,21.5,209.44
1943555,21.69,205.63
1944067,21.69,200.7
1944579,21.69,198.38
1945091,21.69,197.79
1945603,21.69,196.06
1946115,22.46,244.72
1946627,22.84,281.23
1947139,23.04,291.21
1947651,23.23,295.29
1948163,23.23,292.65
1948675,23.04,285.31
1949187,23.04,278.33
1949699,23.04,287.79
1950211,23.23,297.66
1950723,23.23,298.87
1951235,23.23,303.55
1951747,23.42,309.32
1952259,23.42,306.97
1952771,23.42,302.74
1953283,23.23,299.41
1953795,23.23,296.53
1954307,23.23,297.91
1954819,23.23,301.25
1955331,23.23,303.35
1955843,23.23,300.71
1956355,23.23,307.07
1956867,23.23,302.89
1957379,23.23,294.47
1957891,23.23,294.39
1958403,23.23,290.63
1958915,23.23,295.6
1959427,23.23,299.96
1959939,23.23,300.09
1960451,23.23,301.19
1960963,23.04,185.67
1961475,0.0,13.81
1961987,0.0,10.32
1962499,0.0,10.62
1963011,0.0,11.26
1963523,0.0,10.17
1964035,0.0,12.43
1964547,0.0,10.52
1965059,0.0,10.26
1965571,0.0,10.01
1966083,0.0,11.82
1966595,0.0,9.18
1967107,0.0,11.87
1967619,0.0,10.56
1968131,0.0,10.76
1968643,0.0,10.62
1969155,0.0,10.82
1969667,0.0,9.73
1970179,0.0,9.94
1970691,0.0,10.17
1971203,0.0,23.01
1971715,0.0,20.46
1972227,0.0,2.17
